level,algorithm,dist
code2vec,infomap,0.09875694733991747
code2vec,infomap,-0.0948692939743121
code2vec,infomap,-0.20129018156105272
code2vec,infomap,-0.12540148046254962
code2vec,infomap,-0.323789103411796
code2vec,infomap,-0.1384643457039636
code2vec,infomap,0.1059374178335033
code2vec,infomap,-0.34784504483141654
code2vec,infomap,0.017122038751983593
code2vec,infomap,-0.5037709146507146
code2vec,infomap,-0.17026072574886153
code2vec,infomap,-0.23148548362088117
code2vec,infomap,0.02670302359558896
code2vec,infomap,-0.23664572170746856
code2vec,infomap,-0.41007080598118395
code2vec,infomap,0.0596853895104571
code2vec,infomap,-0.31403920426898424
code2vec,infomap,-0.34427297262176415
code2vec,infomap,0.0945136457722977
code2vec,infomap,0.028849067062169498
code2vec,infomap,-0.09945500726131518
code2vec,infomap,-0.06780807302097003
code2vec,infomap,-0.2366288400373544
code2vec,infomap,0.14217160108905802
code2vec,infomap,-0.19141176048745956
code2vec,infomap,-0.5141044319378435
code2vec,infomap,0.11307458852697172
code2vec,infomap,0.0708160549102479
code2vec,infomap,-0.5062827576957871
code2vec,infomap,0.12842907806421522
code2vec,infomap,0.010302371662344045
code2vec,infomap,-0.31621464801752386
code2vec,infomap,-0.15269627569795918
code2vec,infomap,-0.09263075559452505
code2vec,infomap,-0.37480465929429174
code2vec,infomap,0.07544414343036765
code2vec,infomap,0.011285084708882676
code2vec,infomap,-0.3040646241297975
code2vec,infomap,-0.03003948518715227
code2vec,infomap,0.013405512382449025
code2vec,infomap,-0.19066600750546558
code2vec,infomap,-0.3070046860284896
code2vec,infomap,0.039945804945155095
