,cohesion,comm_algorithm,dep_sim_corr,feature_algorithm,inter_similarity,project,silhouette
3163,0.8712834132334689,infomap,-0.1814748258053053,document,0.9763935444795345,pippo,0.04710981840005395
3164,0.8738504581403376,infomap,-0.1715168582413514,document,0.9821614185063385,pitest,0.022115067647268154
3165,0.9103618888816717,infomap,0.19911444710812676,document,0.9320942822893782,playframework,-0.10083249351429217
3166,0.9315015595277243,infomap,0.12191069564322486,document,0.9270232406355805,pmd,-0.1828024280689467
3167,0.8961489433688281,infomap,-0.06652505833807744,document,0.9370972951204399,poi,-0.17977754101172141
3168,0.9189582834096062,infomap,0.12223885063527457,document,0.9447143082528665,pojo-tester,0.16894911326073445
3169,0.9352303679036744,infomap,-0.761181197817529,document,0.9137931318587879,powermock,-0.14771751749259238
3170,0.9037783901873152,infomap,0.043387660970518216,document,0.9665122931061441,presto,-0.1819596821876919
3171,0.862862619927168,infomap,-1.0,document,0.9940071838740882,protobuf,0.04969871729194884
3172,0.9268273661312135,infomap,0.21686694147412983,document,0.9219572970431004,pulsar,-0.23620014687131172
3173,0.9332990297494511,infomap,0.12425960720058041,document,0.9285401315946842,quarkus,-0.3071640875713182
3174,0.872049490021817,infomap,-1.0,document,0.9936818653814281,quartz,-0.02295983586448495
3175,0.9015781634344997,infomap,0.2232717979605921,document,0.9028565518188979,quasar,-0.06519767207560247
3176,0.936697523293197,infomap,-0.30127663522744974,document,0.9431353232274117,querydsl,-0.23863492575354148
3177,0.8881660902474028,infomap,-0.29959950019387566,document,0.964179281955914,rabbitmq-java-client,-0.053726077966152565
3178,0.8989416440333233,infomap,-0.4027483738282004,document,0.9698530324123352,raml-tester,0.006747097989017531
3179,0.9195903898760415,infomap,-0.3201883151216317,document,0.9631217678713401,randomizedtesting,-0.1622387066594036
3180,0.8403655893190711,infomap,-1.0,document,0.9833316361942293,rapidoid,0.2247976769623958
3181,0.8997790911257487,infomap,0.2281672692757446,document,0.9285033340548428,ratpack,-0.05648035982683309
