algorithm,size
leiden,103
leiden,87
leiden,64
leiden,34
leiden,20
leiden,11
leiden,10
leiden,9
leiden,7
leiden,7
leiden,7
leiden,7
leiden,5
leiden,43
leiden,38
leiden,35
leiden,28
leiden,18
leiden,15
leiden,12
leiden,49
leiden,42
leiden,41
leiden,31
leiden,29
leiden,26
leiden,23
leiden,12
leiden,6
leiden,4
leiden,20
leiden,13
leiden,12
leiden,8
leiden,6
leiden,428
leiden,98
leiden,19
leiden,15
leiden,13
leiden,12
leiden,12
leiden,6
leiden,6
leiden,6
leiden,4
leiden,4
leiden,509
leiden,207
leiden,186
leiden,121
leiden,113
leiden,82
leiden,80
leiden,59
leiden,28
leiden,24
leiden,18
leiden,8
leiden,7
leiden,7
leiden,6
leiden,11
leiden,10
leiden,6
leiden,5
leiden,43
leiden,26
leiden,14
leiden,12
leiden,11
leiden,6
leiden,5
leiden,84
leiden,40
leiden,29
leiden,10
leiden,9
leiden,6
leiden,5
leiden,20
leiden,19
leiden,10
leiden,5
leiden,26
leiden,25
leiden,24
leiden,24
leiden,18
leiden,16
leiden,11
leiden,10
leiden,4
leiden,53
leiden,48
leiden,37
leiden,35
leiden,28
leiden,24
leiden,23
leiden,20
leiden,14
leiden,11
leiden,10
leiden,6
leiden,16
leiden,12
leiden,11
leiden,4
leiden,4
leiden,17
leiden,16
leiden,12
leiden,10
leiden,8
leiden,7
leiden,113
leiden,62
leiden,54
leiden,43
leiden,26
leiden,21
leiden,17
leiden,17
leiden,4
leiden,67
leiden,53
leiden,51
leiden,50
leiden,50
leiden,40
leiden,30
leiden,5
leiden,36
leiden,20
leiden,13
leiden,12
leiden,9
leiden,103
leiden,94
leiden,78
leiden,70
leiden,67
leiden,60
leiden,48
leiden,26
leiden,6
leiden,36
leiden,36
leiden,29
leiden,24
leiden,18
leiden,10
leiden,6
leiden,4
leiden,19
leiden,17
leiden,17
leiden,12
leiden,12
leiden,6
leiden,18
leiden,16
leiden,15
leiden,14
leiden,13
leiden,12
leiden,1064
leiden,967
leiden,836
leiden,808
leiden,629
leiden,514
leiden,192
leiden,150
leiden,115
leiden,104
leiden,99
leiden,99
leiden,98
leiden,64
leiden,61
leiden,44
leiden,38
leiden,35
leiden,31
leiden,23
leiden,22
leiden,21
leiden,14
leiden,10
leiden,10
leiden,8
leiden,8
leiden,6
leiden,6
leiden,6
leiden,6
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,4
leiden,4
leiden,217
leiden,117
leiden,108
leiden,104
leiden,81
leiden,78
leiden,76
leiden,74
leiden,61
leiden,58
leiden,39
leiden,32
leiden,29
leiden,18
leiden,15
leiden,9
leiden,9
leiden,9
leiden,8
leiden,7
leiden,5
leiden,129
leiden,92
leiden,69
leiden,66
leiden,61
leiden,53
leiden,47
leiden,36
leiden,35
leiden,27
leiden,9
leiden,6
leiden,4
leiden,36
leiden,28
leiden,28
leiden,28
leiden,20
leiden,13
leiden,10
leiden,9
leiden,8
leiden,6
leiden,6
leiden,4
leiden,990
leiden,751
leiden,590
leiden,571
leiden,553
leiden,501
leiden,429
leiden,418
leiden,368
leiden,340
leiden,309
leiden,294
leiden,289
leiden,271
leiden,115
leiden,85
